domain,category,difficulty,emoji,color,situation,purpose,korean_word,korean_pronunciation,korean_definition,korean_pos,korean_synonyms,korean_antonyms,korean_word_family,korean_compound_words,korean_collocations,english_word,english_pronunciation,english_definition,english_pos,english_synonyms,english_antonyms,english_word_family,english_compound_words,english_collocations,chinese_word,chinese_pronunciation,chinese_definition,chinese_pos,chinese_synonyms,chinese_antonyms,chinese_word_family,chinese_compound_words,chinese_collocations,japanese_word,japanese_pronunciation,japanese_definition,japanese_pos,japanese_synonyms,japanese_antonyms,japanese_word_family,japanese_compound_words,japanese_collocations,korean_example,english_example,chinese_example,japanese_example
education,school,basic,🏫,#2196F3,"formal,school",description,학교,hak-gyo,학생들이 공부하는 곳,명사,"교육기관,학원","집,가정","장소,기관","학교생활,학교친구","좋은 학교,새로운 학교",school,/skuːl/,place where students study,noun,"educational institution,academy","home,house","place,institution","school life,school friend","good school,new school",学校,xué xiào,学生学习的地方,名词,"教育机构,学院","家,住宅","地方,机构","学校生活,学校朋友","好学校,新学校",学校,gakkō,学生が勉強する場所,名詞,"教育機関,学院","家,住宅","場所,機関","学校生活,学校の友達","良い学校,新しい学校",학교에 가요.,I go to school.,我去学校。,学校に行きます。
education,exam,intermediate,📝,#FF5722,"formal,school",description,시험,si-heom,실력을 확인하는 것,명사,"테스트,평가","연습,복습","활동,과정","시험지,시험공부","어려운 시험,중요한 시험",exam,/ɪɡˈzæm/,test to check ability,noun,"test,assessment","practice,review","activity,process","exam paper,exam study","difficult exam,important exam",考试,kǎo shì,检查能力的测试,名词,"测试,评估","练习,复习","活动,过程","考试卷,考试学习","困难考试,重要考试",試験,shiken,実力を確認すること,名詞,"テスト,評価","練習,復習","活動,過程","試験用紙,試験勉強","難しい試験,重要な試験",내일 시험이 있어요.,I have an exam tomorrow.,明天有考试。,明日試験があります。
education,classroom,basic,🏫,#9C27B0,"formal,school",description,교실,gyo-sil,학생들이 수업을 받는 방,명사,"강의실,학습실","운동장,복도","장소,공간","교실문,교실안","넓은 교실,작은 교실",classroom,/ˈklæsruːm/,room where students have lessons,noun,"lecture room,study room","playground,hallway","place,space","classroom door,inside classroom","spacious classroom,small classroom",教室,jiào shì,学生上课的房间,名词,"讲堂,学习室","操场,走廊","地方,空间","教室门,教室里","宽敞教室,小教室",教室,kyōshitsu,学生が授業を受ける部屋,名詞,"講義室,学習室","運動場,廊下","場所,空間","教室のドア,教室の中","広い教室,小さい教室",교실에서 공부해요.,I study in the classroom.,我在教室学习。,教室で勉強します。
education,library,intermediate,📚,#795548,"formal,school",description,도서관,do-seo-gwan,책을 빌려주는 곳,명사,"서재,문고","서점,판매점","장소,시설","도서관카드,도서관책","큰 도서관,조용한 도서관",library,/ˈlaɪbreri/,place that lends books,noun,"archive,collection","bookstore,shop","place,facility","library card,library book","big library,quiet library",图书馆,tú shū guǎn,借书的地方,名词,"书库,藏书室","书店,商店","地方,设施","图书证,图书馆书","大图书馆,安静图书馆",図書館,toshokan,本を貸してくれる場所,名詞,"書庫,文庫","本屋,店","場所,施設","図書カード,図書館の本","大きい図書館,静かな図書館",도서관에서 책을 빌렸어요.,I borrowed a book from the library.,我从图书馆借了书。,図書館で本を借りました。
education,university,advanced,🎓,#E91E63,"formal,school",description,대학교,dae-hak-gyo,고등교육을 하는 곳,명사,"대학,고등학교","초등학교,중학교","교육기관,학교","대학생,대학원","좋은 대학교,유명한 대학교",university,/ˌjuːnɪˈvɜːrsəti/,place for higher education,noun,"college,higher education","elementary school,middle school","educational institution,school","university student,graduate school","good university,famous university",大学,dà xué,进行高等教育的地方,名词,"高校,学院","小学,中学","教育机构,学校","大学生,研究生院","好大学,著名大学",大学,daigaku,高等教育をする場所,名詞,"大学校,高等教育","小学校,中学校","教育機関,学校","大学生,大学院","良い大学,有名な大学",대학교에 다녀요.,I attend university.,我上大学。,大学に通います。
education,graduation,intermediate,🎓,#4CAF50,"formal,school",description,졸업,jol-eop,학교를 마치는 것,명사,"수료,완료","입학,시작","과정,행사","졸업식,졸업장","고등학교 졸업,대학 졸업",graduation,/ˌɡrædʒuˈeɪʃən/,finishing school,noun,"completion,finish","enrollment,beginning","process,event","graduation ceremony,diploma","high school graduation,college graduation",毕业,bì yè,完成学业,名词,"完成,结束","入学,开始","过程,活动","毕业典礼,毕业证","高中毕业,大学毕业",卒業,sotsugyō,学校を終えること,名詞,"修了,完了","入学,始まり","過程,行事","卒業式,卒業証書","高校卒業,大学卒業",내년에 졸업해요.,I graduate next year.,我明年毕业。,来年卒業します。
nature,animal,basic,🐕,#FF9800,"casual,home",description,개,gae,사람과 함께 사는 동물,명사,"강아지,멍멍이","고양이,새","동물,애완동물","개집,개밥","귀여운 개,큰 개",dog,/dɔːɡ/,animal that lives with people,noun,"puppy,canine","cat,bird","animal,pet","doghouse,dog food","cute dog,big dog",狗,gǒu,与人类一起生活的动物,名词,"小狗,犬","猫,鸟","动物,宠物","狗屋,狗粮","可爱的狗,大狗",犬,inu,人と一緒に住む動物,名詞,"子犬,わんちゃん","猫,鳥","動物,ペット","犬小屋,ドッグフード","可愛い犬,大きい犬",우리 집에 개가 있어요.,We have a dog at home.,我家有一只狗。,うちに犬がいます。
nature,plant,basic,🌸,#E91E63,"casual,home",description,꽃,kkot,예쁘고 향기로운 식물,명사,"화초,꽃잎","나무,풀","식물,자연","꽃집,꽃병","예쁜 꽃,향기로운 꽃",flower,/ˈflaʊər/,beautiful fragrant plant,noun,"blossom,bloom","tree,grass","plant,nature","flower shop,vase","beautiful flower,fragrant flower",花,huā,美丽芳香的植物,名词,"花朵,花瓣","树,草","植物,自然","花店,花瓶","美丽的花,芳香的花",花,hana,きれいで香りの良い植物,名詞,"花びら,開花","木,草","植物,自然","花屋,花瓶","きれいな花,香りの良い花",정원에 꽃이 피었어요.,Flowers bloomed in the garden.,花园里开花了。,庭に花が咲きました。
nature,weather,basic,☀️,#FFC107,"casual,daily",description,날씨,nal-ssi,하늘의 상태,명사,"기후,기상","실내,건물","상태,환경","날씨예보,일기예보","좋은 날씨,나쁜 날씨",weather,/ˈweðər/,condition of the sky,noun,"climate,atmospheric","indoor,building","condition,environment","weather forecast,weather report","good weather,bad weather",天气,tiān qì,天空的状态,名词,"气候,气象","室内,建筑","状态,环境","天气预报,气象报告","好天气,坏天气",天気,tenki,空の状態,名詞,"気候,気象","室内,建物","状態,環境","天気予報,気象予報","良い天気,悪い天気",오늘 날씨가 좋아요.,The weather is nice today.,今天天气很好。,今日は天気が良いです。
nature,geography,intermediate,🏔️,#795548,"formal,school",description,산,san,높이 솟은 땅,명사,"높은 곳,언덕","평지,바다","지형,자연","산길,산꼭대기","높은 산,아름다운 산",mountain,/ˈmaʊntən/,high land,noun,"peak,hill","plain,sea","terrain,nature","mountain path,mountaintop","high mountain,beautiful mountain",山,shān,高耸的土地,名词,"高地,山丘","平地,海洋","地形,自然","山路,山顶","高山,美丽的山",山,yama,高くそびえる土地,名詞,"高い所,丘","平地,海","地形,自然","山道,山頂","高い山,美しい山",산에 올라갔어요.,I climbed the mountain.,我爬山了。,山に登りました。
nature,environment,advanced,🌍,#4CAF50,"formal,school",description,환경,hwan-gyeong,주변의 조건이나 상태,명사,"자연,생태","오염,파괴","상태,조건","환경보호,환경문제","좋은 환경,깨끗한 환경",environment,/ɪnˈvaɪrənmənt/,surrounding conditions,noun,"nature,ecology","pollution,destruction","condition,state","environmental protection,environmental problem","good environment,clean environment",环境,huán jìng,周围的条件或状态,名词,"自然,生态","污染,破坏","状态,条件","环保,环境问题","好环境,清洁环境",環境,kankyō,周りの条件や状態,名詞,"自然,生態","汚染,破壊","状態,条件","環境保護,環境問題","良い環境,きれいな環境",환경을 보호해야 해요.,We need to protect the environment.,我们需要保护环境。,環境を保護しなければなりません。
nature,conservation,advanced,♻️,#4CAF50,"formal,social",instruction,보호,bo-ho,지키고 돌보는 것,명사,"보존,관리","파괴,방치","활동,행위","자연보호,환경보호","동물 보호,자연 보호",protection,/prəˈtekʃən/,keeping and caring for,noun,"conservation,preservation","destruction,neglect","activity,action","nature protection,environmental protection","animal protection,nature protection",保护,bǎo hù,保护和照顾,名词,"保存,管理","破坏,忽视","活动,行为","自然保护,环境保护","动物保护,自然保护",保護,hogo,守り世話すること,名詞,"保存,管理","破壊,放置","活動,行為","自然保護,環境保護","動物保護,自然保護",자연을 보호해야 해요.,We must protect nature.,我们必须保护自然。,自然を保護しなければなりません。
nature,forest,basic,🌲,#4CAF50,"casual,travel",description,숲,sup,나무가 많이 자라는 곳,명사,"산림,삼림","사막,도시","자연,장소","숲길,숲속","깊은 숲,울창한 숲",forest,/ˈfɔːrɪst/,place with many trees,noun,"woods,woodland","desert,city","nature,place","forest path,inside forest","deep forest,dense forest",森林,sēn lín,长满树木的地方,名词,"树林,林地","沙漠,城市","自然,地方","森林小径,森林里","深森林,茂密森林",森,mori,木がたくさん生えている場所,名詞,"森林,林","砂漠,都市","自然,場所","森の道,森の中","深い森,うっそうとした森",숲에서 산책했어요.,I took a walk in the forest.,我在森林里散步。,森で散歩しました。
technology,computer,basic,💻,#2196F3,"casual,work",description,노트북,no-teu-buk,들고 다닐 수 있는 컴퓨터,명사,"랩톱,포터블","데스크톱,고정형","기기,장치","노트북가방,노트북충전기","새 노트북,가벼운 노트북",laptop,/ˈlæptɑːp/,portable computer,noun,"notebook,portable","desktop,stationary","device,equipment","laptop bag,laptop charger","new laptop,light laptop",笔记本电脑,bǐ jì běn diàn nǎo,可以携带的电脑,名词,"便携电脑,手提电脑","台式机,固定式","设备,装置","笔记本包,笔记本充电器","新笔记本,轻便笔记本",ノートパソコン,nōto pasokon,持ち運べるコンピュータ,名詞,"ラップトップ,ポータブル","デスクトップ,固定型","機器,装置","ノートパソコンバッグ,充電器","新しいノートパソコン,軽いノートパソコン",노트북으로 일해요.,I work with a laptop.,我用笔记本电脑工作。,ノートパソコンで仕事をします。
technology,internet,basic,🌐,#00BCD4,"casual,work",description,인터넷,in-teo-net,전 세계가 연결된 통신망,명사,"네트워크,웹","오프라인,단절","시스템,통신","인터넷카페,인터넷쇼핑","빠른 인터넷,무선 인터넷",internet,/ˈɪntərnet/,worldwide communication network,noun,"network,web","offline,disconnected","system,communication","internet cafe,internet shopping","fast internet,wireless internet",互联网,hù lián wǎng,全世界连接的通信网,名词,"网络,网页","离线,断开","系统,通信","网吧,网购","快速互联网,无线互联网",インターネット,intānetto,全世界がつながった通信網,名詞,"ネットワーク,ウェブ","オフライン,切断","システム,通信","インターネットカフェ,ネットショッピング","速いインターネット,無線インターネット",인터넷으로 정보를 찾아요.,I search for information on the internet.,我在互联网上查找信息。,インターネットで情報を探します。
technology,mobile,basic,📱,#FF9800,"casual,daily",description,핸드폰,haen-deu-pon,손에 들고 다니는 전화기,명사,"휴대폰,스마트폰","유선전화,집전화","기기,장치","핸드폰케이스,핸드폰충전기","새 핸드폰,스마트 핸드폰",phone,/foʊn/,portable telephone,noun,"mobile phone,smartphone","landline,home phone","device,gadget","phone case,phone charger","new phone,smart phone",手机,shǒu jī,手持电话,名词,"移动电话,智能手机","固定电话,家庭电话","设备,装置","手机壳,手机充电器","新手机,智能手机",携帯電話,keitai denwa,手に持って持ち歩く電話,名詞,"携帯,スマートフォン","固定電話,家の電話","機器,装置","携帯ケース,携帯充電器","新しい携帯,スマート携帯",핸드폰을 잃어버렸어요.,I lost my phone.,我丢了手机。,携帯電話をなくしました。
technology,software,intermediate,📱,#9C27B0,"casual,work",description,앱,aep,스마트폰에서 쓰는 프로그램,명사,"애플리케이션,프로그램","하드웨어,기계","소프트웨어,도구","앱스토어,앱다운로드","유용한 앱,새로운 앱",app,/æp/,program used on smartphones,noun,"application,program","hardware,machine","software,tool","app store,app download","useful app,new app",应用程序,yìng yòng chéng xù,智能手机上使用的程序,名词,"应用,程序","硬件,机器","软件,工具","应用商店,应用下载","有用应用,新应用",アプリ,apuri,スマートフォンで使うプログラム,名詞,"アプリケーション,プログラム","ハードウェア,機械","ソフトウェア,ツール","アプリストア,アプリダウンロード","便利なアプリ,新しいアプリ",유용한 앱을 다운로드했어요.,I downloaded a useful app.,我下载了一个有用的应用。,便利なアプリをダウンロードしました。
technology,ai,advanced,🤖,#FF5722,"formal,work",description,인공지능,in-gong-ji-neung,사람처럼 생각하는 기계,명사,"AI,로봇","인간,사람","기술,시스템","인공지능기술,AI개발","고급 인공지능,스마트 AI",AI,/eɪ aɪ/,machine that thinks like humans,noun,"artificial intelligence,robot","human,person","technology,system","AI technology,AI development","advanced AI,smart AI",人工智能,rén gōng zhì néng,像人类一样思考的机器,名词,"AI,机器人","人类,人","技术,系统","人工智能技术,AI开发","高级人工智能,智能AI",人工知能,jinkō chinō,人のように考える機械,名詞,"AI,ロボット","人間,人","技術,システム","人工知能技術,AI開発","高度な人工知能,スマートAI",인공지능이 발전하고 있어요.,AI is developing.,人工智能正在发展。,人工知能が発展しています。
technology,programming,advanced,💻,#607D8B,"formal,work",instruction,프로그래밍,peu-ro-geu-rae-ming,컴퓨터 프로그램을 만드는 것,명사,"코딩,개발","사용,운영","기술,활동","프로그래머,코드","웹 프로그래밍,앱 개발",programming,/ˈproʊɡræmɪŋ/,creating computer programs,noun,"coding,development","using,operating","skill,activity","programmer,code","web programming,app development",编程,biān chéng,制作计算机程序,名词,"编码,开发","使用,运营","技术,活动","程序员,代码","网页编程,应用开发",プログラミング,puroguramingu,コンピュータプログラムを作ること,名詞,"コーディング,開発","使用,運営","技術,活動","プログラマー,コード","ウェブプログラミング,アプリ開発",프로그래밍을 배우고 있어요.,I am learning programming.,我在学习编程。,プログラミングを習っています。
technology,gaming,basic,🎮,#E91E63,"casual,home",description,게임,ge-im,재미로 하는 놀이,명사,"놀이,오락","일,공부","활동,취미","게임기,게임방","재미있는 게임,새로운 게임",game,/ɡeɪm/,play activity for fun,noun,"play,entertainment","work,study","activity,hobby","game console,game room","fun game,new game",游戏,yóu xì,为了娱乐而进行的活动,名词,"娱乐,玩耍","工作,学习","活动,爱好","游戏机,游戏厅","有趣游戏,新游戏",ゲーム,gēmu,楽しみのためにする遊び,名詞,"遊び,娯楽","仕事,勉強","活動,趣味","ゲーム機,ゲームセンター","面白いゲーム,新しいゲーム",친구와 게임을 해요.,I play games with friends.,我和朋友玩游戏。,友達とゲームをします。
technology,social_media,intermediate,📱,#00BCD4,"casual,social",description,SNS,es-en-es,사람들과 소통하는 온라인 서비스,명사,"소셜미디어,네트워킹","오프라인,직접만남","서비스,플랫폼","SNS계정,SNS친구","인기 SNS,새로운 SNS",social media,/ˈsoʊʃəl ˈmiːdiə/,online service for communication,noun,"social networking,platform","offline,face-to-face","service,platform","social media account,social media friend","popular social media,new social media",社交媒体,shè jiāo méi tǐ,人们交流的在线服务,名词,"社交网络,平台","线下,面对面","服务,平台","社交媒体账户,社交媒体朋友","流行社交媒体,新社交媒体",SNS,esu-enu-esu,人々とコミュニケーションするオンラインサービス,名詞,"ソーシャルメディア,ネットワーキング","オフライン,直接会うこと","サービス,プラットフォーム","SNSアカウント,SNS友達","人気SNS,新しいSNS",SNS로 친구들과 연락해요.,I contact friends through social media.,我通过社交媒体联系朋友。,SNSで友達と連絡します。
health,exercise,basic,🏃,#4CAF50,"casual,home",instruction,달리기,dal-li-gi,빠르게 뛰는 것,명사,"조깅,러닝","걷기,정지","운동,활동","달리기코스,마라톤","아침 달리기,건강한 달리기",running,/ˈrʌnɪŋ/,moving fast on foot,noun,"jogging,sprint","walking,stopping","exercise,activity","running course,marathon","morning running,healthy running",跑步,pǎo bù,快速奔跑,名词,"慢跑,赛跑","走路,停止","运动,活动","跑步路线,马拉松","晨跑,健康跑步",走る,hashiru,速く走ること,名詞,"ジョギング,ランニング","歩く,止まる","運動,活動","ランニングコース,マラソン","朝のランニング,健康的なランニング",매일 아침 달리기를 해요.,I run every morning.,我每天早上跑步。,毎朝走ります。
health,medicine,intermediate,💊,#FF5722,"formal,medical",description,약,yak,병을 고치는 물질,명사,"의약품,치료제","독,해로운것","물질,치료","약국,약사","좋은 약,효과적인 약",medicine,/ˈmedəsən/,substance that cures illness,noun,"medication,drug","poison,harmful","substance,treatment","pharmacy,pharmacist","good medicine,effective medicine",药,yào,治疗疾病的物质,名词,"药品,药物","毒,有害物","物质,治疗","药店,药师","好药,有效药",薬,kusuri,病気を治す物質,名詞,"医薬品,治療薬","毒,害のあるもの","物質,治療","薬局,薬剤師","良い薬,効果的な薬",감기약을 먹었어요.,I took cold medicine.,我吃了感冒药。,風邪薬を飲みました。
health,nutrition,intermediate,🥗,#4CAF50,"casual,home",instruction,건강,geon-gang,몸과 마음이 좋은 상태,명사,"건강함,웰빙","질병,아픔","상태,조건","건강관리,건강식품","좋은 건강,완전한 건강",health,/helθ/,good condition of body and mind,noun,"wellness,fitness","illness,sickness","condition,state","health care,health food","good health,perfect health",健康,jiàn kāng,身心良好的状态,名词,"健康状态,保健","疾病,痛苦","状态,条件","健康管理,健康食品","良好健康,完美健康",健康,kenkō,体と心が良い状態,名詞,"健康状態,ウェルネス","病気,痛み","状態,条件","健康管理,健康食品","良い健康,完璧な健康",건강이 가장 중요해요.,Health is most important.,健康最重要。,健康が一番大切です。
health,hospital,basic,🏥,#FF5722,"formal,medical",request,병원,byeong-won,아픈 사람을 치료하는 곳,명사,"의료기관,치료소","집,가정","장소,시설","병원비,병원진료","큰 병원,좋은 병원",hospital,/ˈhɑːspɪtəl/,place that treats sick people,noun,"medical facility,clinic","home,house","place,facility","hospital bill,hospital treatment","big hospital,good hospital",医院,yī yuàn,治疗病人的地方,名词,"医疗机构,诊所","家,住宅","地方,设施","医院费用,医院治疗","大医院,好医院",病院,byōin,病気の人を治療する場所,名詞,"医療機関,クリニック","家,住宅","場所,施設","病院代,病院診療","大きい病院,良い病院",병원에 가야 해요.,I need to go to the hospital.,我需要去医院。,病院に行かなければなりません。
health,diet,intermediate,🍎,#4CAF50,"casual,home",instruction,다이어트,da-i-eo-teu,체중을 줄이는 것,명사,"감량,체중조절","증량,살찌기","활동,관리","다이어트식품,운동","성공적인 다이어트,건강한 다이어트",diet,/ˈdaɪət/,reducing body weight,noun,"weight loss,slimming","weight gain,gaining","activity,management","diet food,exercise","successful diet,healthy diet",减肥,jiǎn féi,减少体重,名词,"减重,瘦身","增重,发胖","活动,管理","减肥食品,运动","成功减肥,健康减肥",ダイエット,daietto,体重を減らすこと,名詞,"減量,体重調節","増量,太ること","活動,管理","ダイエット食品,運動","成功したダイエット,健康的なダイエット",다이어트를 시작했어요.,I started a diet.,我开始减肥了。,ダイエットを始めました。
health,stress,advanced,😰,#FF5722,"casual,work",description,스트레스,seu-teu-re-seu,정신적 압박감,명사,"긴장,압박","편안함,안정","상태,감정","스트레스해소,스트레스관리","심한 스트레스,만성 스트레스",stress,/stres/,mental pressure,noun,"tension,pressure","comfort,relaxation","state,emotion","stress relief,stress management","severe stress,chronic stress",压力,yā lì,精神压迫感,名词,"紧张,压迫","舒适,安定","状态,情感","压力缓解,压力管理","严重压力,慢性压力",ストレス,sutoresu,精神的な圧迫感,名詞,"緊張,プレッシャー","安らぎ,安定","状態,感情","ストレス解消,ストレス管理","ひどいストレス,慢性ストレス",요즘 스트레스가 많아요.,I have a lot of stress these days.,最近压力很大。,最近ストレスが多いです。
health,sleep,basic,😴,#9C27B0,"casual,home",description,잠,jam,휴식을 위해 자는 것,명사,"수면,휴식","깨어있음,활동","상태,행위","잠자리,잠옷","깊은 잠,편안한 잠",sleep,/sliːp/,resting by sleeping,noun,"slumber,rest","wakefulness,activity","state,action","bed,pajamas","deep sleep,comfortable sleep",睡眠,shuì mián,为了休息而睡觉,名词,"睡觉,休息","清醒,活动","状态,行为","床铺,睡衣","深度睡眠,舒适睡眠",睡眠,suimin,休息のために寝ること,名詞,"眠り,休息","目覚めていること,活動","状態,行為","寝床,パジャマ","深い眠り,快適な睡眠",잠을 잘 못 잤어요.,I didn't sleep well.,我没睡好。,よく眠れませんでした。
sports,football,basic,⚽,#4CAF50,"casual,social",description,축구,chuk-gu,발로 공을 차는 운동,명사,"풋볼,사커","농구,야구","운동,스포츠","축구장,축구공","프로 축구,월드컵 축구",football,/ˈfʊtbɔːl/,sport played with feet and ball,noun,"soccer,ball game","basketball,baseball","sport,exercise","football field,football","professional football,World Cup football",足球,zú qiú,用脚踢球的运动,名词,"足球运动,球类","篮球,棒球","运动,体育","足球场,足球","职业足球,世界杯足球",サッカー,sakkā,足でボールを蹴るスポーツ,名詞,"フットボール,球技","バスケット,野球","運動,スポーツ","サッカー場,サッカーボール","プロサッカー,ワールドカップサッカー",친구들과 축구를 해요.,I play football with friends.,我和朋友踢足球。,友達とサッカーをします。
sports,basketball,basic,🏀,#FF9800,"casual,social",description,농구,nong-gu,손으로 공을 던지는 운동,명사,"바스켓볼,구기","축구,야구","운동,스포츠","농구장,농구공","프로 농구,NBA 농구",basketball,/ˈbæskɪtbɔːl/,sport played with hands and ball,noun,"ball game,hoops","football,baseball","sport,exercise","basketball court,basketball","professional basketball,NBA basketball",篮球,lán qiú,用手投球的运动,名词,"篮球运动,球类","足球,棒球","运动,体育","篮球场,篮球","职业篮球,NBA篮球",バスケットボール,basukettobōru,手でボールを投げるスポーツ,名詞,"バスケ,球技","サッカー,野球","運動,スポーツ","バスケットコート,バスケットボール","プロバスケ,NBAバスケ",농구를 잘해요.,I'm good at basketball.,我篮球打得好。,バスケットボールが上手です。
sports,swimming,basic,🏊,#00BCD4,"casual,health",instruction,수영,su-yeong,물에서 하는 운동,명사,"헤엄,물놀이","육상,땅","운동,활동","수영장,수영복","자유 수영,배영",swimming,/ˈswɪmɪŋ/,sport done in water,noun,"aquatic sport,stroke","land,ground","exercise,activity","swimming pool,swimsuit","freestyle swimming,backstroke",游泳,yóu yǒng,在水中进行的运动,名词,"游水,水上运动","陆地,地面","运动,活动","游泳池,泳衣","自由泳,仰泳",水泳,suiei,水の中でする運動,名詞,"泳ぎ,水中運動","陸上,地面","運動,活動","プール,水着","自由形,背泳ぎ",수영을 배우고 있어요.,I'm learning to swim.,我在学游泳。,水泳を習っています。
sports,tennis,intermediate,🎾,#4CAF50,"formal,social",description,테니스,te-ni-seu,라켓으로 공을 치는 운동,명사,"라켓스포츠,구기","축구,농구","운동,스포츠","테니스장,테니스라켓","프로 테니스,윔블던 테니스",tennis,/ˈtenɪs/,sport played with racket and ball,noun,"racket sport,ball game","football,basketball","sport,exercise","tennis court,tennis racket","professional tennis,Wimbledon tennis",网球,wǎng qiú,用球拍击球的运动,名词,"网球运动,球类","足球,篮球","运动,体育","网球场,网球拍","职业网球,温布尔登网球",テニス,tenisu,ラケットでボールを打つスポーツ,名詞,"ラケットスポーツ,球技","サッカー,バスケ","運動,スポーツ","テニスコート,テニスラケット","プロテニス,ウィンブルドンテニス",테니스를 치러 가요.,I'm going to play tennis.,我去打网球。,テニスをしに行きます。
sports,gym,intermediate,🏋️,#FF5722,"casual,health",instruction,헬스장,hel-seu-jang,운동기구가 있는 곳,명사,"체육관,피트니스","집,가정","장소,시설","헬스장회원,운동기구","좋은 헬스장,24시간 헬스장",gym,/dʒɪm/,place with exercise equipment,noun,"fitness center,health club","home,house","place,facility","gym membership,exercise equipment","good gym,24-hour gym",健身房,jiàn shēn fáng,有运动器械的地方,名词,"健身中心,体育馆","家,住宅","地方,设施","健身房会员,运动器械","好健身房,24小时健身房",ジム,jimu,運動器具がある場所,名詞,"フィットネス,体育館","家,住宅","場所,施設","ジム会員,運動器具","良いジム,24時間ジム",헬스장에서 운동해요.,I exercise at the gym.,我在健身房运动。,ジムで運動します。
sports,marathon,advanced,🏃,#4CAF50,"formal,health",description,마라톤,ma-ra-ton,42.195km를 뛰는 경기,명사,"장거리달리기,지구력","단거리,스프린트","경기,운동","마라톤대회,완주","풀 마라톤,하프 마라톤",marathon,/ˈmærəθən/,42.195km running race,noun,"long distance running,endurance","short distance,sprint","race,sport","marathon event,finish","full marathon,half marathon",马拉松,mǎ lā sōng,42.195公里的跑步比赛,名词,"长跑,耐力","短跑,冲刺","比赛,运动","马拉松赛事,完赛","全程马拉松,半程马拉松",マラソン,marason,42.195kmを走る競技,名詞,"長距離走,持久力","短距離,スプリント","競技,運動","マラソン大会,完走","フルマラソン,ハーフマラソン",마라톤에 참가했어요.,I participated in a marathon.,我参加了马拉松。,マラソンに参加しました。
sports,team,basic,👥,#2196F3,"casual,social",description,팀,tim,함께 경기하는 사람들,명사,"그룹,조","개인,혼자","집단,단체","팀워크,팀장","강한 팀,좋은 팀",team,/tiːm/,people who play together,noun,"group,squad","individual,alone","collective,unit","teamwork,team leader","strong team,good team",团队,tuán duì,一起比赛的人们,名词,"队伍,小组","个人,单独","集体,团体","团队合作,队长","强队,好队",チーム,chīmu,一緒に競技をする人たち,名詞,"グループ,組","個人,一人","集団,団体","チームワーク,チームリーダー","強いチーム,良いチーム",우리 팀이 이겼어요.,Our team won.,我们队赢了。,私たちのチームが勝ちました。
entertainment,movie,basic,🎬,#E91E63,"casual,social",description,영화,yeong-hwa,스크린으로 보는 이야기,명사,"필름,시네마","책,소설","매체,작품","영화관,영화표","재미있는 영화,새로운 영화",movie,/ˈmuːvi/,story shown on screen,noun,"film,cinema","book,novel","media,work","movie theater,movie ticket","interesting movie,new movie",电影,diàn yǐng,在屏幕上看的故事,名词,"影片,电影院","书,小说","媒体,作品","电影院,电影票","有趣电影,新电影",映画,eiga,スクリーンで見る物語,名詞,"フィルム,シネマ","本,小説","メディア,作品","映画館,映画チケット","面白い映画,新しい映画",어제 영화를 봤어요.,I watched a movie yesterday.,我昨天看了电影。,昨日映画を見ました。
entertainment,music,basic,🎵,#9C27B0,"casual,social",description,음악,eum-ak,소리로 만드는 예술,명사,"멜로디,곡","소음,잡음","예술,소리","음악가,악기","좋은 음악,클래식 음악",music,/ˈmjuːzɪk/,art made with sound,noun,"melody,song","noise,din","art,sound","musician,instrument","good music,classical music",音乐,yīn yuè,用声音创作的艺术,名词,"旋律,歌曲","噪音,杂音","艺术,声音","音乐家,乐器","好音乐,古典音乐",音楽,ongaku,音で作る芸術,名詞,"メロディー,曲","騒音,雑音","芸術,音","音楽家,楽器","良い音楽,クラシック音楽",음악을 들어요.,I listen to music.,我听音乐。,音楽を聞きます。
entertainment,concert,intermediate,🎤,#FF9800,"formal,social",description,콘서트,kon-seo-teu,음악 공연,명사,"공연,라이브","녹음,스튜디오","행사,이벤트","콘서트홀,티켓","클래식 콘서트,팝 콘서트",concert,/ˈkɑːnsərt/,musical performance,noun,"performance,live","recording,studio","event,show","concert hall,ticket","classical concert,pop concert",音乐会,yīn yuè huì,音乐演出,名词,"演出,现场","录音,录音室","活动,演出","音乐厅,票","古典音乐会,流行音乐会",コンサート,konsāto,音楽の公演,名詞,"公演,ライブ","録音,スタジオ","イベント,ショー","コンサートホール,チケット","クラシックコンサート,ポップコンサート",콘서트에 갔어요.,I went to a concert.,我去了音乐会。,コンサートに行きました。
entertainment,drama,intermediate,📺,#607D8B,"casual,home",description,드라마,deu-ra-ma,텔레비전 연속극,명사,"TV쇼,시리즈","영화,단편","프로그램,방송","드라마배우,에피소드","한국 드라마,로맨스 드라마",drama,/ˈdrɑːmə/,television series,noun,"TV show,series","movie,short","program,broadcast","drama actor,episode","Korean drama,romance drama",电视剧,diàn shì jù,电视连续剧,名词,"电视节目,系列","电影,短片","节目,广播","电视剧演员,集","韩剧,爱情剧",ドラマ,dorama,テレビの連続劇,名詞,"TVショー,シリーズ","映画,短編","番組,放送","ドラマ俳優,エピソード","韓国ドラマ,ロマンスドラマ",요즘 드라마를 봐요.,I watch dramas these days.,我最近看电视剧。,最近ドラマを見ます。
